Circuit: * D:\Deli_sync_ws\Project\Current_probe\Doge_probe_deli\spice\AD8129.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.07579e-06 ++to 3.07579e-06
Heightened Def Con from 3.07579e-06 ++++to 3.07579e-06
Heightened Def Con from 3.09231e-06 to 3.09231e-06
Heightened Def Con from 3.09231e-06 +++to 3.09231e-06
Heightened Def Con from 3.09231e-06 to 3.09231e-06
Heightened Def Con from 3.09642e-06 to 3.09642e-06
Heightened Def Con from 3.09642e-06 to 3.09642e-06
Heightened Def Con from 3.09642e-06 ++to 3.09642e-06
Heightened Def Con from 3.09642e-06 ++++to 3.09642e-06
Heightened Def Con from 3.10053e-06 to 3.10053e-06
Heightened Def Con from 3.10252e-06 to 3.10252e-06
Heightened Def Con from 3.10252e-06 to 3.10252e-06
Heightened Def Con from 3.10252e-06 to 3.10252e-06
Heightened Def Con from 3.10868e-06 to 3.10868e-06
Heightened Def Con from 3.10868e-06 to 3.10868e-06
Heightened Def Con from 3.11675e-06 +to 3.11675e-06
Heightened Def Con from 3.11675e-06 to 3.11675e-06
Heightened Def Con from 3.11675e-06 +++++to 3.11675e-06
Heightened Def Con from 3.11675e-06 to 3.11675e-06
Heightened Def Con from 3.12276e-06 to 3.12276e-06
Heightened Def Con from 3.13079e-06 to 3.13079e-06
Heightened Def Con from 3.13079e-06 +++to 3.13079e-06
Heightened Def Con from 3.13079e-06 ++to 3.13079e-06
Heightened Def Con from 3.13079e-06 to 3.13079e-06
Heightened Def Con from 3.13686e-06 ++to 3.13686e-06
Heightened Def Con from 3.13686e-06 ++++to 3.13686e-06
Heightened Def Con from 3.13686e-06 +to 3.13686e-06
Heightened Def Con from 3.15737e-06 +to 3.15737e-06
Heightened Def Con from 3.15737e-06 to 3.15737e-06
Heightened Def Con from 3.15737e-06 to 3.15737e-06
Heightened Def Con from 3.16762e-06 +++to 3.16762e-06
Heightened Def Con from 3.16762e-06 to 3.16762e-06
Heightened Def Con from 3.16762e-06 +++++to 3.16762e-06
Heightened Def Con from 3.16981e-06 to 3.16981e-06
Heightened Def Con from 3.16981e-06 to 3.16981e-06
Heightened Def Con from 3.16981e-06 to 3.16981e-06
Heightened Def Con from 3.18222e-06 +++to 3.18222e-06
Heightened Def Con from 3.18222e-06 to 3.18222e-06
Heightened Def Con from 3.18222e-06 +++to 3.18222e-06
Heightened Def Con from 3.22894e-06 to 3.22894e-06
Heightened Def Con from 3.22894e-06 to 3.22894e-06
Heightened Def Con from 3.22894e-06 to 3.22894e-06
Heightened Def Con from 3.24101e-06 ++to 3.24101e-06
Heightened Def Con from 3.24508e-06 to 3.24508e-06
Heightened Def Con from 3.25132e-06 to 3.25132e-06
Heightened Def Con from 3.27401e-06 to 3.27401e-06
Heightened Def Con from 3.28032e-06 to 3.28032e-06
Heightened Def Con from 3.29054e-06 +to 3.29054e-06
Heightened Def Con from 3.29467e-06 to 3.29467e-06
Heightened Def Con from 3.30905e-06 to 3.30905e-06
Heightened Def Con from 3.30905e-06 to 3.30905e-06
Heightened Def Con from 3.3231e-06 to 3.3231e-06
Heightened Def Con from 3.3231e-06 to 3.3231e-06
Heightened Def Con from 3.3231e-06 to 3.3231e-06
Heightened Def Con from 3.3231e-06 ++++++to 3.3231e-06
Heightened Def Con from 3.3473e-06 to 3.3473e-06
Heightened Def Con from 3.3473e-06 to 3.3473e-06
Heightened Def Con from 3.3473e-06 +++++to 3.3473e-06
Heightened Def Con from 3.34943e-06 to 3.34943e-06
Heightened Def Con from 3.34943e-06 to 3.34943e-06
Heightened Def Con from 3.34943e-06 ++to 3.34943e-06
Heightened Def Con from 3.34943e-06 +++++to 3.34943e-06
Heightened Def Con from 3.34943e-06 +++++to 3.34943e-06
Heightened Def Con from 3.37428e-06 to 3.37428e-06
Heightened Def Con from 3.37428e-06 ++to 3.37428e-06
Heightened Def Con from 3.40519e-06 to 3.40519e-06
Heightened Def Con from 3.43531e-06 to 3.43531e-06
Heightened Def Con from 3.43531e-06 to 3.43531e-06
Heightened Def Con from 3.45573e-06 to 3.45573e-06
Heightened Def Con from 3.50939e-06 to 3.50939e-06
Heightened Def Con from 3.51343e-06 ++to 3.51343e-06
Heightened Def Con from 3.51343e-06 to 3.51343e-06
Heightened Def Con from 3.5295e-06 ++to 3.5295e-06
Heightened Def Con from 3.54158e-06 to 3.54158e-06
Heightened Def Con from 3.54158e-06 ++to 3.54158e-06
Heightened Def Con from 3.55573e-06 to 3.55573e-06
Heightened Def Con from 3.58294e-06 to 3.58294e-06
Heightened Def Con from 3.60957e-06 +++++to 3.60957e-06
Heightened Def Con from 3.62771e-06 to 3.62771e-06
Heightened Def Con from 3.64998e-06 to 3.64998e-06
Heightened Def Con from 3.67283e-06 to 3.67283e-06
Heightened Def Con from 3.67283e-06 ++to 3.67283e-06
Heightened Def Con from 3.67283e-06 ++++to 3.67283e-06
Heightened Def Con from 3.67697e-06 to 3.67697e-06
Heightened Def Con from 3.67697e-06 to 3.67697e-06
Heightened Def Con from 3.72392e-06 to 3.72392e-06
Heightened Def Con from 3.75027e-06 to 3.75027e-06
Heightened Def Con from 3.79366e-06 to 3.79366e-06
Heightened Def Con from 3.80807e-06 to 3.80807e-06
Heightened Def Con from 3.80807e-06 to 3.80807e-06
Heightened Def Con from 3.80807e-06 ++to 3.80807e-06
Heightened Def Con from 3.80807e-06 +++to 3.80807e-06
Heightened Def Con from 3.82212e-06 to 3.82212e-06
Heightened Def Con from 3.86285e-06 to 3.86285e-06
Heightened Def Con from 3.86285e-06 to 3.86285e-06
Heightened Def Con from 3.86285e-06 to 3.86285e-06
Heightened Def Con from 3.88569e-06 to 3.88569e-06
Heightened Def Con from 3.91629e-06 to 3.91629e-06
Heightened Def Con from 3.92835e-06 to 3.92835e-06
Heightened Def Con from 3.94252e-06 to 3.94252e-06
Heightened Def Con from 3.94252e-06 ++to 3.94252e-06
Heightened Def Con from 3.95072e-06 to 3.95072e-06
Heightened Def Con from 3.95072e-06 ++++to 3.95072e-06
Heightened Def Con from 3.95072e-06 ++++to 3.95072e-06
Heightened Def Con from 3.95573e-06 to 3.95573e-06
Heightened Def Con from 3.98794e-06 to 3.98794e-06
Heightened Def Con from 3.99404e-06 to 3.99404e-06
Heightened Def Con from 3.99404e-06 ++++to 3.99404e-06
Heightened Def Con from 3.99404e-06 to 3.99404e-06

Date: Thu Sep 19 14:37:31 2024
Total elapsed time: 5.004 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 560387
traniter = 560361
tranpoints = 91704
accept = 59230
rejected = 33401
matrix size = 112
fillins = 102
solver = Normal
Avg thread counts: 1.0/1.0/1.0/1.0
Matrix Compiler1: 10.10 KB object code size  1.7/1.4/[0.7]
Matrix Compiler2: 10.74 KB object code size  1.0/1.1/[0.6]

